事件分组,事件名称,事件中文名,CSV属性数,事件样本数,事件级判定,ext属性命中数,personal属性命中数,双字段命中数,未命中属性数,样本ext键,样本personal键
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,9,0,样本未覆盖,0,0,0,9,,
Activity,GVGMatchResult,GVG匹配阶段匹配结果统计,7,0,样本未覆盖,0,0,0,7,,
Activity,GVGSignUp,GVG报名阶段信息统计,12,0,样本未覆盖,0,0,0,12,,
Shop,ShopBuyItem,商店购买真实使用,4,0,样本未覆盖,0,0,0,4,,
Hero,HeroAcquisition,英雄获得,0,0,样本未覆盖,0,0,0,0,,
Activity,WorldCupPointReward,世界杯积分奖励,1,0,样本未覆盖,0,0,0,1,,
Activity,WorldCupPointChange,世界杯积分变化,2,0,样本未覆盖,0,0,0,2,,
Activity,WorldCupExchange,世界杯兑换,3,0,样本未覆盖,0,0,0,3,,
Activity,WorldCupRoll,世界杯投掷,5,0,样本未覆盖,0,0,0,5,,
Alliance,GiftJump,联盟礼物跳转,1,0,样本未覆盖,0,0,0,1,,
Alliance,TakeAllianceGift,领取联盟礼物（更新后的 一次领取多个礼物触发一条）,5,0,样本未覆盖,0,0,0,5,,
Login,GameStartState10InitSDKCallbackTimeUp,GameStartState10InitSDKCallbackTimeUp,0,0,样本未覆盖,0,0,0,0,,
Login,GameStartState9InitSDKCallback,GameStartState9InitSDKCallback,0,0,样本未覆盖,0,0,0,0,,
Login,GameStartState8InitSDK,GameStartState8InitSDK,0,0,样本未覆盖,0,0,0,0,,
Login,GameStartState7InitStart,GameStartState7InitStart,0,0,样本未覆盖,0,0,0,0,,
Login,GameStartState6OnEnter,GameStartState6OnEnter,0,0,样本未覆盖,0,0,0,0,,
Login,Launcher5Start,Launcher5Start,0,0,样本未覆盖,0,0,0,0,,
Login,Launcher4Awake,Launcher4Awake,0,0,样本未覆盖,0,0,0,0,,
Activity,AdvancedPointIncrease,进阶试炼积分增长,5,0,样本未覆盖,0,0,0,5,,
Pay,ep_pay_start,开始调用谷歌支付接口 拉起谷歌支付界面（中台支付流程）,1,30,personal 为主,0,1,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, productId, userId, payId, playerId"
Pay,ep_pay_purchase_finish,玩家支付完成，商店/三方给到回调,2,30,personal 为主,0,2,0,0,,"gameId, epEnv, pkgId, channel, epSdkVersion, playServicesVersion, playStoreVersion, code, productId, payload, orderId, payId, message, userId, playerId"
