事件分组,事件名称,事件中文名,属性名称,属性中文名,属性数据类型,判定位置,ext命中样本数,personal命中样本数,事件样本数,ext样例值,personal样例值
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,allianceId,联盟ID,字符串,样本未发现,0,0,0,,
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,battleResult,副本战斗结果,字符串,样本未发现,0,0,0,,
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,allianceScore,联盟获胜时的联盟总积分,数字,样本未发现,0,0,0,,
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,allianceMemberScore,联盟参与玩家的积分数组,字符串,样本未发现,0,0,0,,
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,selectTimeIndex,副本id,数字,样本未发现,0,0,0,,
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,teamId,当前报名的参与队伍ID,数字,样本未发现,0,0,0,,
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,seasonRound,当前赛季的第几轮活动,数字,样本未发现,0,0,0,,
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,seasonId,当前所处赛季序号,数字,样本未发现,0,0,0,,
Activity,GVGBattleResult,GVG副本阶段战斗结果统计,serverId,联盟所在服务器ID,数字,样本未发现,0,0,0,,
Activity,GVGMatchResult,GVG匹配阶段匹配结果统计,matchResultId,匹配服结果流水号,数字,样本未发现,0,0,0,,
Activity,GVGMatchResult,GVG匹配阶段匹配结果统计,ifFake,匹配的队伍是否是假联盟,字符串,样本未发现,0,0,0,,
Activity,GVGMatchResult,GVG匹配阶段匹配结果统计,allianceId2,匹配对手联盟ID-2,字符串,样本未发现,0,0,0,,
Activity,GVGMatchResult,GVG匹配阶段匹配结果统计,allianceId1,匹配联盟ID-1,字符串,样本未发现,0,0,0,,
Activity,GVGMatchResult,GVG匹配阶段匹配结果统计,selectTimeIndex,副本id,数字,样本未发现,0,0,0,,
Activity,GVGMatchResult,GVG匹配阶段匹配结果统计,seasonRound,当前赛季的第几轮活动,数字,样本未发现,0,0,0,,
Activity,GVGMatchResult,GVG匹配阶段匹配结果统计,seasonId,当前所处赛季序号,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,loseCount,当前赛季该联盟失败的场次数量,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,winCount,当前赛季该联盟获胜的场次数量,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,allianceTotalPower,联盟报名队伍总战力,字符串,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,subsititutesArray,替补玩家UID+战斗力数组,字符串,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,participantsArray,主力玩家UID+战斗力数组,字符串,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,allianceRank,在联盟战力排行榜的排名,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,selectTimeIndex,副本id,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,teamId,当前报名的参与队伍ID,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,seasonRound,当前赛季的第几轮活动,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,seasonId,当前所处赛季序号,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,serverId,报名联盟所在服务器ID,数字,样本未发现,0,0,0,,
Activity,GVGSignUp,GVG报名阶段信息统计,allianceId,报名的联盟ID,字符串,样本未发现,0,0,0,,
Shop,ShopBuyItem,商店购买真实使用,costItem,消耗道具的ID,字符串,样本未发现,0,0,0,,
Shop,ShopBuyItem,商店购买真实使用,count,数量,数字,样本未发现,0,0,0,,
Shop,ShopBuyItem,商店购买真实使用,shopItemId,商品ID,数字,样本未发现,0,0,0,,
Shop,ShopBuyItem,商店购买真实使用,shopId,商店ID,数字,样本未发现,0,0,0,,
Activity,WorldCupPointReward,世界杯积分奖励,rewardId,奖励ID,数字,样本未发现,0,0,0,,
Activity,WorldCupPointChange,世界杯积分变化,totalNum,当日总积分,数字,样本未发现,0,0,0,,
Activity,WorldCupPointChange,世界杯积分变化,changeSource,变更来源,数字,样本未发现,0,0,0,,
Activity,WorldCupExchange,世界杯兑换,costNum,消耗数量,数字,样本未发现,0,0,0,,
Activity,WorldCupExchange,世界杯兑换,itemNum,兑换数量,数字,样本未发现,0,0,0,,
Activity,WorldCupExchange,世界杯兑换,itemId,道具ID,数字,样本未发现,0,0,0,,
